cycle,number,prefix,label,title,votes,own_votes,amendment_votes,first,last,final_outcome,final_result,href
43,1,B,B/1,A Nemzeti Választási Bizottság elnökének beszámolója a Nemzeti Választási Bizottságnak az országgyűlési képviselők 2026. április 12-én megtartott általános választásán végzett tevékenységéről,1,1,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22092091db-92bb-48fc-b8f3-0a4c2335cadc%22%7D
43,2,B,B/2,A Nemzeti Választási Iroda elnökének beszámolója az országgyűlési képviselők 2026. április 12. napján megtartott általános választásával kapcsolatos állami feladatok megszervezéséről és lebonyolításáról,1,1,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%220891b0d9-7221-4333-86c2-a9288684e779%22%7D
43,3,S,S/3,Az Országgyűlés elnökének megválasztásáról,1,1,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22dd5b2e45-0aa4-49c3-a149-7b468042fb1e%22%7D
43,4,S,S/4,Az Országgyűlés alelnökeinek és törvényalkotásért felelős alelnökének megválasztásáról,6,6,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2232a53b17-98a8-482b-83ff-51183aa5b2ea%22%7D
43,5,S,S/5,Az Országgyűlés jegyzőinek megválasztásáról,14,14,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%226e22abaf-36d8-419b-8f88-fad7390d1e6d%22%7D
43,6,H,H/6,"Az Országgyűlés bizottságainak létrehozásáról, tagjainak és tisztségviselőinek megválasztásáról",2,2,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2223f21d12-6e20-4779-bf3d-1c746d5548d2%22%7D
43,7,T,T/7,Magyarország minisztériumainak felsorolásáról,3,2,1,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22ba27e812-72de-4356-b016-544523819585%22%7D
43,8,T,T/8,Az Ukrajna területén fennálló fegyveres konfliktusra tekintettel kihirdetett veszélyhelyzeti rendeletek törvényi szintre emeléséről,2,2,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22e58df1b6-043b-4cd0-8981-bf8be6b046bf%22%7D
43,12,S,S/12,A miniszterelnök megválasztásáról,1,1,0,2026-05-09,2026-05-09,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22aff0c46c-e305-4c64-8090-b31f46d2dbc4%22%7D
43,32,I,I/32,"Miért törölték el a Meta reklámadóját a Tisza és a Fidesz négyötödös paktumával, vitát sem engedve?",1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2210e71aa3-20d2-4c4d-ae7d-f284aa146c19%22%7D
43,34,I,I/34,Kártalanítják-e a Covid-károsultakat?,1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22c38e2c40-30d3-44fe-96aa-85a1e3f53224%22%7D
43,35,I,I/35,Mi a Kormány terve a Migrációs Paktum kapcsán?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%222eea96f4-9805-4ae2-b047-e8f4f7a49558%22%7D
43,36,I,I/36,Az Európai Unió Bíróságának döntése után hogyan védi meg a kormány a magyar gyerekek és szülők érdekeit?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2264e86678-d4a7-49bf-b2bb-7e5f28a42582%22%7D
43,37,I,I/37,Milyen irányt vesz az oktatáspolitika?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22b43a9f64-0767-44f3-b981-838eda94c2f7%22%7D
43,39,I,I/39,"Továbbra is érvényben tartják-e, hogy a férfi és a nő biológiailag meghatározott?",1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22e084bca1-dadc-4c6d-87b2-f2f7584f43a5%22%7D
43,47,I,I/47,Miért tervezik a mindennapos testnevelés eltörlését?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22060d8f1c-c7ef-47b8-8cc8-e26a2807bb28%22%7D
43,49,I,I/49,Meddig volt őszinte a 480 forintos benzinár ígérete?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22095f1218-dae4-4524-a0cb-964324b25590%22%7D
43,50,I,I/50,Elfogadható-e a közjogi méltóságok fenyegetése és a személyre szabott jogalkotás?,1,1,0,2026-05-26,2026-05-26,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%222b52f3fb-d7d3-437f-9d51-d1f2ef52fb9d%22%7D
43,51,T,T/51,Magyarország Alaptörvényének tizenhatodik módosítása,2,1,1,2026-06-15,2026-06-15,önálló indítvány minősített többséget igénylő része elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22bf4d53c4-01dc-4ff9-8b04-0f8029057cbc%22%7D
43,52,T,T/52,Egyes tisztességtelen fogyasztói szerződések jogkövetkezményeit rendező törvények felülvizsgálata érdekében az érintett folyamatban lévő eljárások kezeléséről,2,2,0,2026-06-08,2026-06-08,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%229c91608f-e5e9-4441-85b8-5f4b49fb4d2c%22%7D
43,53,T,T/53,Az Országgyűlés vizsgálóbizottságai munkájának hatékonyabbá tételéről,5,2,3,2026-06-23,2026-06-23,önálló indítvány egyszerű többséget igénylő része elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2228646ed4-36b8-4b6e-865d-8b682da999e5%22%7D
43,54,H,H/54,A Végrehajtási Visszaéléseket Feltáró Vizsgálóbizottság felállításáról,3,1,2,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2254f27782-5b7d-41ce-8778-10e1963f3a9e%22%7D
43,55,H,H/55,Az MNB Működésével Kapcsolatos Visszaéléseit Feltáró Vizsgálóbizottság felállításáról,2,1,1,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22f0a974d2-5275-4013-ae86-52927462b73d%22%7D
43,56,H,H/56,A Spontán Privatizációt és a Közvagyon Elvesztését Feltáró Vizsgálóbizottság felállításáról,3,1,2,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%225fb362de-5ba4-4d9e-af8d-1930f848e221%22%7D
43,57,H,H/57,A Kegyelmi Botrány Felelőseit Feltáró Vizsgálóbizottság felállításáról,2,1,1,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%226e697dab-6ee7-43a4-945d-1bd81c814c69%22%7D
43,58,H,H/58,A Gyermekvédelem Rendszerszintű Válságát Feltáró Vizsgálóbizottság felállításáról,2,1,1,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22b1d468ad-d850-46b7-acd3-808531c05ac6%22%7D
43,71,T,T/71,"Az Egyesült Nemzetek Diplomáciai Konferenciája által, a Nemzetközi Büntetőbíróság Rómában, 1998. július 17-én elfogadott Statútumának, és a Nemzetközi Büntetőbíróság kiváltságairól és mentességeiről szóló, New Yorkban, 2002. szeptember 10-én elfogadott Megállapodás felmondásának visszavonásáról",3,3,0,2026-05-26,2026-05-27,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%223ea1454a-068a-4451-8195-bb3ddfab923b%22%7D
43,83,S,S/83,"Az Országgyűlés bizottságainak létrehozásáról, tagjainak és tisztségviselőinek megválasztásáról szóló 17/2026. (V. 9.) OGY határozat módosításáról",1,1,0,2026-05-26,2026-05-26,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%228c0f5c0d-47f4-4ab5-85e0-2f5192a1a006%22%7D
43,84,H,H/84,Kocsis Máté országgyűlési képviselő mentelmi ügyében,1,1,0,2026-05-26,2026-05-26,mentelmi jog fenntartva,Elutasítva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%229ba1a274-fee1-46be-93e3-b5eecafe05f1%22%7D
43,92,I,I/92,"Közeleg a mohácsi csata 500-dik évfordulója, hogyan kíván emlékezni a kormány a mohácsi hősökre?",1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22b404df5c-1395-4227-b292-6c6e18b98a17%22%7D
43,93,I,I/93,Üzenhetnek-e a magzati korú gyermekek?,1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22512150c8-22dc-4c2f-b4d5-ea9710d2c367%22%7D
43,94,I,I/94,Ki védi meg a szülők jogait a gyermekek szexuális nevelésében?,1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2295ca0ef1-03f3-46d6-9ca7-c92b58ca3df7%22%7D
43,95,I,I/95,Az elmúlt egy hónapban miért omlott össze a gabonapiac?,1,1,0,2026-06-01,2026-06-01,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2259d5d10e-6ad9-41d6-8e0b-8446f4685021%22%7D
43,100,T,T/100,Az Országgyűlésről szóló 2012. évi XXXVI. törvény és az azzal összefüggő egyes törvények költségcsökkentéssel kapcsolatos módosításáról,5,5,0,2026-06-01,2026-06-08,önálló indítvány egyszerű többséget igénylő része elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%222edca884-7b7e-4be5-8e96-5e94e47d7781%22%7D
43,118,S,S/118,"Az Országgyűlés bizottságainak létrehozásáról, tagjainak és tisztségviselőinek megválasztásáról szóló 17/2026. (V. 9.) OGY határozat módosításáról",1,1,0,2026-06-01,2026-06-01,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22031fb489-bfe2-4d98-b80a-54bd287929eb%22%7D
43,122,,122,"A gyűlöletkeltésre alkalmas politikai reklámok visszaszorításáról, a gazdasági reklámok településképi illeszkedésének biztosításáról, valamint egyes beruházási szabályok módosításáról",8,0,8,2026-06-23,2026-06-23,önálló indítvány egyszerű többséget igénylő része elfogadva,Elfogadva,
43,123,,123,A Szuverenitásvédelmi Hivatal megszüntetéséről,3,0,3,2026-06-30,2026-06-30,önálló indítvány egyszerű többséget igénylő része elfogadva,Elfogadva,
43,125,I,I/125,Kiállnak-e az ingatlanmaffia áldozataiért?,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2272164aff-f958-4f9e-b464-24f89b0aa5a3%22%7D
43,126,I,I/126,Mit terveznek a magánegészségüggyel és az orvosbárókkal?,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%224261038b-a220-42e3-88b0-f2de3522088a%22%7D
43,127,I,I/127,Folytatódik-e a kétgyermekes anyák szja-mentességének kiterjesztése 2027-től az 50 év alattiak tekintetében?,1,1,0,2026-06-15,2026-06-15,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22900fe5a4-0eca-481b-831c-2e68be8468c7%22%7D
43,128,I,I/128,Miért kerüli a témát?,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22f79a24d8-8bc7-4399-b04b-27e6ed1b2e43%22%7D
43,131,I,I/131,Önök milyen számokat néznek?,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%226e3d5e31-e824-4305-b44d-44d1b09f934a%22%7D
43,132,I,I/132,Fontos Önöknek a gyermekek digitális eszközök káros hatásaitól történő megvédése?”,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22c2846ae7-b435-4a2a-94a7-633fdaa168d2%22%7D
43,133,I,I/133,Két igen és két nem? A Tisza-kormány mit gondol az azonos neműek házasságáról?,1,1,0,2026-06-08,2026-06-08,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2254d32a6b-9581-4d25-b4cb-a88372a43ecb%22%7D
43,150,S,S/150,Az MNB Működésével Kapcsolatos Visszaéléseit Feltáró Vizsgálóbizottság tagjainak és tisztségviselőinek megválasztásáról,1,1,0,2026-06-08,2026-06-08,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%225500d2c1-db0f-48a4-b29e-c5df1feaeab3%22%7D
43,151,S,S/151,A Spontán Privatizációt és a Közvagyon Elvesztését Feltáró Vizsgálóbizottság tagjainak és tisztségviselőinek megválasztásáról,1,1,0,2026-06-08,2026-06-08,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22943920bd-ee5c-478c-9926-2b1a6fb46f8c%22%7D
43,152,S,S/152,A Kegyelmi Botrány Felelőseit Feltáró Vizsgálóbizottság tagjainak és tisztségviselőinek megválasztásáról,1,1,0,2026-06-08,2026-06-08,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22a6157608-5247-4bd9-9d42-03f49dd70974%22%7D
