cycle,ts,faction,igen,nem,tartozkodott,cast,rice,ai,dissent
43,2026.05.09.10:45:47,TISZA,125,6,1,132,0.9083969465648855,0.9204545454545454,7
43,2026.05.09.10:45:47,Fidesz,36,4,3,43,0.8,0.7558139534883721,7
43,2026.05.09.10:45:47,KDNP,5,3,0,8,0.25,0.4375,3
43,2026.05.09.10:45:47,Mi Hazánk,5,1,0,6,0.6666666666666666,0.75,1
43,2026.05.09.10:46:28,TISZA,136,0,0,136,1.0,1.0,0
43,2026.05.09.10:46:28,Fidesz,43,0,0,43,1.0,1.0,0
43,2026.05.09.10:46:28,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.10:46:28,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.11:42:46,TISZA,138,0,0,138,1.0,1.0,0
43,2026.05.09.11:42:46,Fidesz,38,0,0,38,1.0,1.0,0
43,2026.05.09.11:42:46,KDNP,7,0,0,7,1.0,1.0,0
43,2026.05.09.11:42:46,Mi Hazánk,5,0,0,5,1.0,1.0,0
43,2026.05.09.11:43:41,TISZA,140,0,0,140,1.0,1.0,0
43,2026.05.09.11:43:41,Fidesz,39,0,0,39,1.0,1.0,0
43,2026.05.09.11:43:41,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.11:43:41,Mi Hazánk,5,0,0,5,1.0,1.0,0
43,2026.05.09.12:58:56,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.12:58:56,Fidesz,38,0,0,38,1.0,1.0,0
43,2026.05.09.12:58:56,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.12:58:56,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.12:59:34,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.12:59:34,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.12:59:34,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.12:59:34,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:00:14,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.13:00:14,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.13:00:14,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.13:00:14,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:00:50,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.13:00:50,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.13:00:50,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.13:00:50,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:01:24,TISZA,138,0,0,138,1.0,1.0,0
43,2026.05.09.13:01:24,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.13:01:24,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.13:01:24,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:02:02,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.13:02:02,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.13:02:02,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.13:02:02,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:02:52,TISZA,141,0,0,141,1.0,1.0,0
43,2026.05.09.13:02:52,Fidesz,40,0,0,40,1.0,1.0,0
43,2026.05.09.13:02:52,KDNP,8,0,0,8,1.0,1.0,0
43,2026.05.09.13:02:52,Mi Hazánk,6,0,0,6,1.0,1.0,0
43,2026.05.09.13:03:29,TISZA,141,0,0,141,1.0,1.0,0
