cycle,month,votes,decisions,qualified,roll_calls,faction,in_roll,cast,with,against,participation,dissent,ai
43,2026-05,57,56,5,56,Fidesz,2464,2162,2115,47,0.877435064935065,0.021739130434782608,0.967391304347826
43,2026-05,57,56,5,56,KDNP,448,436,415,15,0.9732142857142857,0.034403669724770644,0.9380733944954128
43,2026-05,57,56,5,56,Mi Hazánk,336,324,322,2,0.9642857142857143,0.006172839506172839,0.9907407407407407
43,2026-05,57,56,5,56,TISZA,7896,7815,7798,17,0.9897416413373861,0.0021753039027511195,0.9967370441458733
43,2026-06,90,90,29,90,Fidesz,3960,3219,3187,32,0.8128787878787879,0.009940975458216837,0.9850885368126747
43,2026-06,90,90,29,90,KDNP,720,583,572,11,0.8097222222222222,0.018867924528301886,0.9716981132075472
43,2026-06,90,90,29,90,Mi Hazánk,540,492,480,0,0.9111111111111111,0.0,0.9817073170731707
43,2026-06,90,90,29,90,TISZA,12690,11963,11945,18,0.9427107959022852,0.001504639304522277,0.9977430410432165
43,2026-07,75,75,22,74,Fidesz,3222,2234,2189,45,0.6933581626319056,0.020143240823634737,0.9697851387645479
43,2026-07,75,75,22,74,KDNP,592,437,421,16,0.7381756756756757,0.036613272311212815,0.9450800915331807
43,2026-07,75,75,22,74,Mi Hazánk,444,428,426,2,0.963963963963964,0.004672897196261682,0.9929906542056075
43,2026-07,75,75,22,74,TISZA,10434,9992,9989,3,0.9576384895533832,0.00030024019215372296,0.9995496397117695
43,2026-08,37,37,11,36,Fidesz,1580,1269,1264,5,0.8031645569620253,0.003940110323089046,0.9940898345153665
43,2026-08,37,37,11,36,KDNP,288,241,237,4,0.8368055555555556,0.016597510373443983,0.975103734439834
43,2026-08,37,37,11,36,Mi Hazánk,216,199,199,0,0.9212962962962963,0.0,1.0
43,2026-08,37,37,11,36,TISZA,5076,4906,4865,41,0.9665090622537431,0.008357113738279657,0.9874643293925806
